f1-score,precision,recall,support
0.922680412371134,0.9132653061224489,0.9322916666666666,384.0
0.9780681287914139,0.9721706864564007,0.984037558685446,1065.0
0.710261569416499,0.5834710743801653,0.9074550128534704,389.0
0.7,0.5734463276836158,0.8982300884955752,226.0
0.42924528301886794,0.2774390243902439,0.9479166666666666,96.0
0.9055515501081471,0.8480756245779878,0.97138437741686,1293.0
0.5850340136054422,0.43,0.9148936170212766,94.0
0.3440233236151604,0.21223021582733814,0.9076923076923077,65.0
0.936768149882904,0.9273570324574961,0.9463722397476341,634.0
0.3195876288659794,0.19375,0.9117647058823529,34.0
0.6865671641791045,0.71875,0.6571428571428571,35.0
0.46413502109704646,0.3125,0.9016393442622951,61.0
0.9102362204724409,0.9145569620253164,0.9059561128526645,319.0
0.5,0.45454545454545453,0.5555555555555556,18.0
0.5048543689320389,0.3611111111111111,0.8387096774193549,93.0
0.44221105527638194,0.2953020134228188,0.88,50.0
0.8120460584588131,0.7124650295306186,0.943986820428336,4856.0
0.646201493102035,0.5617481770625249,0.8788151117725616,4856.0
0.8536718364158838,0.8045840612062332,0.943986820428336,4856.0
0.8574994770011244,0.821368998587903,0.943986820428336,4856.0
