f1-score,precision,recall,support
0.967741935483871,1.0,0.9375,384.0
0.9929411764705881,0.9952830188679245,0.9906103286384976,1065.0
0.9776609724047306,1.0,0.9562982005141388,389.0
0.9146919431279622,0.9846938775510204,0.8539823008849557,226.0
0.6666666666666667,0.8666666666666667,0.5416666666666666,96.0
0.9839404622013318,0.9968253968253968,0.97138437741686,1293.0
0.9837837837837838,1.0,0.9680851063829787,94.0
0.8181818181818181,1.0,0.6923076923076923,65.0
0.9840255591054313,0.9967637540453075,0.9716088328075709,634.0
0.9375,1.0,0.8823529411764706,34.0
1.0,1.0,1.0,35.0
0.8807339449541284,1.0,0.7868852459016393,61.0
0.9726247987117552,1.0,0.9467084639498433,319.0
0.7142857142857143,1.0,0.5555555555555556,18.0
0.8375,1.0,0.7204301075268817,93.0
0.9361702127659575,1.0,0.88,50.0
0.9680558493759255,0.9952153110047847,0.942339373970346,4856.0
0.9105280617589837,0.9900145446222698,0.8534609887331095,4856.0
0.9658794696175235,0.9943494006550315,0.942339373970346,4856.0
0.9419961559582648,0.9418245469522241,0.942339373970346,4856.0
