f1-score,precision,recall,support
0.9856209150326798,0.989501312335958,0.9817708333333334,384.0
0.9985908877407234,0.9990601503759399,0.9981220657276996,1065.0
0.9817708333333334,0.9947229551451188,0.9691516709511568,389.0
0.9006622516556292,0.8986784140969163,0.9026548672566371,226.0
0.7783783783783783,0.8089887640449438,0.75,96.0
0.989938080495356,0.9907048799380326,0.9891724671307038,1293.0
0.972972972972973,0.989010989010989,0.9574468085106383,94.0
0.9692307692307692,0.9692307692307692,0.9692307692307692,65.0
0.9952681388012619,0.9952681388012619,0.9952681388012619,634.0
0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0
1.0,1.0,1.0,35.0
0.9917355371900827,1.0,0.9836065573770492,61.0
0.9810725552050474,0.9873015873015873,0.9749216300940439,319.0
1.0,1.0,1.0,18.0
0.9565217391304348,0.967032967032967,0.946236559139785,93.0
0.970873786407767,0.9433962264150944,1.0,50.0
0.9813074460394506,0.9842552309923348,0.9783772652388797,4856.0
0.9652015675542847,0.968967836813981,0.9617606626779498,4856.0
0.9811713747240653,0.9840775459027984,0.9783772652388797,4856.0
0.9752883031301482,0.9737438220757826,0.9783772652388797,4856.0
