f1-score,precision,recall,support
0.9285714285714285,0.91,0.9479166666666666,384.0
0.9552093476144109,0.9919110212335692,0.9211267605633803,1065.0
0.9333333333333335,0.9309462915601023,0.9357326478149101,389.0
0.8653421633554084,0.8634361233480177,0.8672566371681416,226.0
0.6186440677966102,0.5214285714285715,0.7604166666666666,96.0
0.8750540423692174,0.9921568627450981,0.782675947409126,1293.0
0.7323943661971831,0.6554621848739496,0.8297872340425532,94.0
0.7515151515151515,0.62,0.9538461538461539,65.0
0.9616326530612245,0.9966159052453468,0.9290220820189274,634.0
0.9714285714285714,0.9444444444444444,1.0,34.0
0.9859154929577464,0.9722222222222222,1.0,35.0
0.8695652173913043,0.7792207792207793,0.9836065573770492,61.0
0.9688473520249221,0.9628482972136223,0.9749216300940439,319.0
0.9,0.8181818181818182,1.0,18.0
0.7524752475247526,0.6972477064220184,0.8172043010752689,93.0
0.8275862068965517,0.7272727272727273,0.96,50.0
0.9052830982950958,0.9257425742574258,0.8857084019769358,4856.0
0.8685946651273635,0.836462184713268,0.9164695802964304,4856.0
0.9077239805545749,0.9403910036281298,0.8857084019769358,4856.0
0.8857084019769358,0.8857084019769358,0.8857084019769358,4856.0
