f1-score,precision,recall,support
0.937748344370861,0.954177897574124,0.921875,384.0
0.9826860084230229,0.9794776119402985,0.9859154929577465,1065.0
0.9537275064267352,0.9537275064267352,0.9537275064267352,389.0
0.8780487804878049,0.88,0.8761061946902655,226.0
0.6666666666666667,0.7283950617283951,0.6145833333333334,96.0
0.9689922480620156,0.9712509712509713,0.9667440061871616,1293.0
0.9680851063829787,0.9680851063829787,0.9680851063829787,94.0
0.6545454545454547,0.8,0.5538461538461539,65.0
0.9700315457413249,0.9700315457413249,0.9700315457413249,634.0
0.888888888888889,0.9655172413793104,0.8235294117647058,34.0
0.923076923076923,1.0,0.8571428571428571,35.0
0.829268292682927,0.8225806451612904,0.8360655737704918,61.0
0.9245585874799358,0.9473684210526315,0.9028213166144201,319.0
0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
0.7586206896551724,0.8148148148148148,0.7096774193548387,93.0
0.92,0.92,0.92,50.0
0.9441213128375572,0.952430846605197,0.9359555189456342,4856.0
0.8682257318473361,0.8963808431324713,0.84542609905498,4856.0
0.9427818395420959,0.9508185154023095,0.9359555189456342,4856.0
0.9240252608456891,0.9181596650192202,0.9359555189456342,4856.0
