f1-score,precision,recall,support
0.9855453350854139,0.9946949602122016,0.9765625,384.0
0.9948381041764429,0.9943714821763602,0.9953051643192489,1065.0
0.9830949284785436,0.9947368421052631,0.9717223650385605,389.0
0.9126637554585154,0.9008620689655172,0.9247787610619469,226.0
0.7526881720430108,0.7777777777777778,0.7291666666666666,96.0
0.9918887601390498,0.9907407407407407,0.9930394431554525,1293.0
0.9837837837837838,1.0,0.9680851063829787,94.0
0.9538461538461539,0.9538461538461539,0.9538461538461539,65.0
0.9936808846761453,0.995253164556962,0.9921135646687698,634.0
1.0,1.0,1.0,34.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,61.0
0.9842271293375394,0.9904761904761905,0.9780564263322884,319.0
0.972972972972973,0.9473684210526315,1.0,18.0
0.945054945054945,0.9662921348314607,0.9247311827956989,93.0
0.99009900990099,0.9803921568627451,1.0,50.0
0.9813190215708535,0.9836540451065591,0.978995057660626,4856.0
0.9652739959345942,0.9679257558502503,0.9629629583917354,4856.0
0.9812097490992812,0.9835461729615603,0.978995057660626,4856.0
0.9760433827567271,0.9745675453047776,0.978995057660626,4856.0
