f1-score,precision,recall,support
0.9297297297297298,0.9662921348314607,0.8958333333333334,384.0
0.9718045112781954,0.9727187206020697,0.9708920187793427,1065.0
0.929427430093209,0.9640883977900553,0.897172236503856,389.0
0.8677494199535962,0.9121951219512195,0.827433628318584,226.0
0.5616438356164383,0.82,0.4270833333333333,96.0
0.9396346306592535,0.9657142857142857,0.9149265274555298,1293.0
0.5985401459854015,0.9534883720930233,0.43617021276595747,94.0
0.8275862068965518,0.9411764705882353,0.7384615384615385,65.0
0.9594155844155844,0.9882943143812709,0.9321766561514195,634.0
0.9393939393939394,0.96875,0.9117647058823529,34.0
0.9722222222222222,0.9459459459459459,1.0,35.0
0.9152542372881356,0.9473684210526315,0.8852459016393442,61.0
0.9423076923076923,0.9639344262295082,0.9216300940438872,319.0
0.0,0.0,0.0,18.0
0.6277372262773723,0.9772727272727273,0.46236559139784944,93.0
0.853932584269663,0.9743589743589743,0.76,50.0
0.9252386570846294,0.9655249608238191,0.8881795716639209,4856.0
0.8022737122741865,0.891349894550713,0.7488222361291454,4856.0
0.9185147093472863,0.9604394814544713,0.8881795716639209,4856.0
0.8881795716639209,0.8881795716639209,0.8881795716639209,4856.0
