f1-score,precision,recall,support
0.8853658536585365,0.8325688073394495,0.9453125,384.0
0.9583718778908418,0.9443938012762079,0.9727699530516432,1065.0
0.774468085106383,0.6606170598911071,0.9357326478149101,389.0
0.5988538681948423,0.4427966101694915,0.9247787610619469,226.0
0.35094339622641507,0.21428571428571427,0.96875,96.0
0.9052631578947368,0.8529411764705882,0.9644238205723125,1293.0
0.30664395229982966,0.18255578093306288,0.9574468085106383,94.0
0.18694362017804153,0.10344827586206896,0.9692307692307692,65.0
0.8911465892597967,0.8252688172043011,0.9684542586750788,634.0
0.16402116402116398,0.09011627906976744,0.9117647058823529,34.0
0.6865671641791045,0.71875,0.6571428571428571,35.0
0.20577617328519854,0.11561866125760649,0.9344262295081968,61.0
0.8535211267605635,0.7749360613810742,0.9498432601880877,319.0
0.5,0.45454545454545453,0.5555555555555556,18.0
0.34090909090909094,0.20689655172413793,0.967741935483871,93.0
0.2422680412371134,0.1390532544378698,0.94,50.0
0.702551290786585,0.5554890458517898,0.9555189456342669,4856.0
0.5531914475688537,0.4724245191154939,0.9077108789173888,4856.0
0.8185058349541898,0.7557496864471437,0.9555189456342669,4856.0
0.8078490439178249,0.7565524032986966,0.9555189456342669,4856.0
