f1-score,precision,recall,support
0.9622641509433962,0.9972067039106145,0.9296875,384.0
0.9934086629001883,0.996222851746931,0.9906103286384976,1065.0
0.9776609724047306,1.0,0.9562982005141388,389.0
0.9176470588235295,0.9798994974874372,0.8628318584070797,226.0
0.5611510791366907,0.9069767441860465,0.40625,96.0
0.9847358121330724,0.9968304278922345,0.9729311678267595,1293.0
0.967032967032967,1.0,0.9361702127659575,94.0
0.7254901960784313,1.0,0.5692307692307692,65.0
0.9840255591054313,0.9967637540453075,0.9716088328075709,634.0
0.9375,1.0,0.8823529411764706,34.0
0.9855072463768115,1.0,0.9714285714285714,35.0
0.8703703703703703,1.0,0.7704918032786885,61.0
0.965964343598055,1.0,0.9341692789968652,319.0
0.4347826086956522,1.0,0.2777777777777778,18.0
0.8076923076923077,1.0,0.6774193548387096,93.0
0.924731182795699,1.0,0.86,50.0
0.9640883977900552,0.9958296751536435,0.9343080724876441,4856.0
0.8749977823804582,0.9921187487042857,0.810578662355491,4856.0
0.959850307011944,0.994909746420009,0.9343080724876441,4856.0
0.933964854475563,0.9337932454695222,0.9343080724876441,4856.0
